# Logical fixture ownership. Columns: owner, selector, optional comma-separated support IDs. Paths are relative to fixtures/; /** owns every tracked file below the prefix.
V-001	vulnerable/order_notes_route.ts
V-002	vulnerable/LedgerReportDao.java
V-003	vulnerable/jwt_session_middleware.go
V-004	vulnerable/support_triage_agent.py
V-005	vulnerable/SessionSealer.cs
V-006	vulnerable/settings_signing.py
V-007	vulnerable/link_preview_service.js
V-008	vulnerable/session_restore.rb
V-009	vulnerable/.github/workflows/pr-preview.yml
V-010	vulnerable/reporting_database.tf
V-011	vulnerable/TokenStore.kt
V-012	vulnerable/force-app/**
V-013	vulnerable/sf_permset_view_all_fields/**
V-014	vulnerable/WebhookSignatureEquals.cls
V-015	vulnerable/agent_autopush_runner.py
V-016	vulnerable/azure_public_data_plane.bicep
V-017	vulnerable/database/sqlserver_rls_cdc_export.sql
V-018	vulnerable/database/mysql_definer_updatable_view.sql
V-019	vulnerable/database/mongodb_additive_roles.json
V-020	vulnerable/database/redis_broad_acl.acl
V-021	vulnerable/database/firestore_auth_only.rules
V-022	vulnerable/database/elastic_role_union.json
V-023	vulnerable/training_dataset.py
V-024	vulnerable/failure_policy.py
V-025	vulnerable/native_frame.c
V-026	vulnerable/patient_chart_audit.py
V-027	vulnerable/privacy_consent.py
V-028	vulnerable/security_grant.ts
V-029	vulnerable/internal_identity.py
V-030	vulnerable/device_enrollment.py
V-031	vulnerable/desktop_update.js
V-032	vulnerable/AssetSweep.sol
C-001	clean/jwt_kid_static_jwks.py
C-002	clean/crypto_util.go
C-003	clean/reset_token.ts
C-004	clean/.github/workflows/pr_label_comment.yml
C-005	clean/force-app/main/default/classes/ReportColumnQuery.cls
C-006	clean/android/app/build.gradle	C-030
C-006	clean/android/app/src/**
C-006	clean/android/babel.config.js	C-030
C-006	clean/android/metro.config.js	C-030
C-007	clean/network_public_alb.tf
C-008	clean/IconMessage.tsx
C-009	clean/cloud_iam_kms_s3_oac.tf
C-010	clean/report_export.py
C-011	clean/PrefsParser.java
C-012	clean/CbcThenHmac.java
C-013	clean/tests/test_local_emulator_tls.py
C-014	clean/egress_confined_pod.yaml
C-015	clean/force-app/main/default/classes/ShippingRuleRollup.cls
C-015	clean/force-app/main/default/objects/Shipping_Zone__c/Shipping_Zone__c.object-meta.xml
C-016	clean/replay_and_consent.tsx
C-017	clean/tests/checkout.spec.ts
C-018	clean/chart_view.py
C-019	clean/seeds/synthetic_patients.json
C-020	clean/invoice_api.ts
C-021	clean/llm_support_agent.py
C-022	clean/ledger_refund.py
C-023	clean/lib_manifest/**
C-024	clean/settings_dev.py
C-025	clean/gen/**
C-026	clean/hs256_service_token.py
C-027	clean/phi_logging.py
C-028	clean/marketing_landing.tsx
C-029	clean/retention_purge.py
C-030	clean/mobile_prefs.tsx
C-031	clean/force-app/main/default/lwc/noteRecordPanel/**
C-032	clean/share_link.py
C-033	clean/ApexWebhookVerifier.cls
C-034	clean/azure_private_endpoint.bicep
C-035	clean/telemetry_vendor_bundle/**
C-036	clean/agent_gated_runner.py
C-037	clean/database/sqlserver_rls_cdc_export.sql
C-038	clean/database/mysql_definer_updatable_view.sql
C-039	clean/database/mongodb_additive_roles.json
C-040	clean/database/redis_broad_acl.acl
C-041	clean/database/firestore_auth_only.rules
C-042	clean/database/elastic_role_union.json
C-043	clean/training_dataset.py
C-044	clean/failure_policy.py
C-045	clean/native_frame.c
C-046	clean/patient_chart_audit.py
C-047	clean/privacy_consent.py
C-048	clean/security_grant.ts
C-049	clean/internal_identity.py
C-050	clean/device_enrollment.py
C-051	clean/desktop_update.js
C-052	clean/AssetSweep.sol
